Loss,Train Acc,Dev Acc
333.4827063097512,0.2802,0.2743362831858407
247.63595300518165,0.4532,0.4358407079646018
209.3739828601903,0.5514,0.504424778761062
177.9857596708331,0.6004,0.5176991150442478
156.28648355253418,0.6696,0.5929203539823009
137.91079925451814,0.7076,0.6150442477876106
120.31240089320596,0.7628,0.6438053097345132
102.52707889495453,0.7312,0.6061946902654868
93.81032699668185,0.8032,0.6526548672566371
76.30613075206547,0.8516,0.6792035398230089
75.58498594932824,0.8442,0.6637168141592921
59.37741119964281,0.8748,0.6814159292035398
50.41575705072892,0.9026,0.6902654867256637
36.529554805152316,0.814,0.6371681415929203
29.602213752797656,0.8898,0.6592920353982301
29.76617660815146,0.9566,0.7146017699115044
30.48944609046189,0.9676,0.7300884955752213
15.542664149933774,0.9756,0.7212389380530974
13.934618964972902,0.9038,0.668141592920354
39.871817091201166,0.8914,0.665929203539823
24.901555008552766,0.983,0.745575221238938
8.992791462714777,0.99,0.745575221238938
6.688805062270061,0.9902,0.7433628318584071
16.350827921512348,0.9836,0.7345132743362832
6.784815843048095,0.9932,0.7411504424778761
5.065386367152643,0.9938,0.7477876106194691
3.9388089048786536,0.9946,0.745575221238938
3.53405820533601,0.9948,0.7522123893805309
5.17677508515803,0.9946,0.7367256637168141
3.8861951249468834,0.9952,0.7278761061946902
12.019508913538791,0.985,0.7234513274336283
3.6153088483036635,0.9938,0.7477876106194691
2.8597174987786245,0.9956,0.7411504424778761
3.026930620172811,0.9952,0.7367256637168141
2.7543009845750483,0.9938,0.7389380530973452
2.8994585402496003,0.9952,0.7367256637168141
2.1993798477254214,0.9952,0.7323008849557522
2.178188509399282,0.9908,0.7101769911504425
