Loss,Train Acc,Dev Acc
332.6411899218988,0.2804,0.25663716814159293
252.46020025864928,0.4708,0.4491150442477876
214.28480403236665,0.5264,0.48008849557522126
184.8465113243767,0.5906,0.5132743362831859
163.3679099278033,0.6196,0.5530973451327433
143.96856987748578,0.6816,0.5995575221238938
123.28934319696253,0.6948,0.6106194690265486
106.61975816253506,0.694,0.5929203539823009
93.4126076102323,0.8218,0.672566371681416
79.8385235650605,0.8552,0.6924778761061947
72.99351567906358,0.8612,0.6836283185840708
54.33199380953608,0.8736,0.672566371681416
43.70728074231107,0.8948,0.6747787610619469
39.32853986239644,0.8908,0.6592920353982301
27.685995740150826,0.9366,0.7057522123893806
31.007137345934908,0.951,0.7146017699115044
21.155690155194456,0.9526,0.7168141592920354
26.013856192327076,0.3038,0.2610619469026549
43.85666080329315,0.964,0.7013274336283186
26.273864456802762,0.9694,0.7035398230088495
11.294993653693602,0.982,0.7300884955752213
8.753409364438225,0.991,0.7278761061946902
7.7398150615381285,0.9732,0.7190265486725663
6.12596704169022,0.993,0.7234513274336283
5.067308989868556,0.9934,0.7256637168141593
5.873825493986747,0.994,0.7300884955752213
4.116937494542421,0.993,0.7389380530973452
4.0089727304318865,0.9948,0.7323008849557522
4.592499000031074,0.994,0.7256637168141593
3.657796008561173,0.9946,0.7323008849557522
3.8952322817666505,0.9926,0.7300884955752213
3.5274460781359576,0.9954,0.7367256637168141
3.3178449054941423,0.9958,0.7323008849557522
3.483916349919085,0.995,0.7323008849557522
3.1240702303156525,0.9954,0.7234513274336283
3.3178421056960747,0.9956,0.7256637168141593
2.4304787990614396,0.9952,0.7278761061946902
